strike,mid_price,iv_market,T,maturity,moneyness,underlying,snapshot_date,S0_SPX,S0_VIX,r_rate,q_div
6850.0,58.599999999999994,0.14555868509788186,0.0273972602739726,2026-04-20,1.002730046341813,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
6875.0,44.900000000000006,0.13879621104564954,0.0273972602739726,2026-04-20,1.0063896450510896,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
6900.0,33.400000000000006,0.1331087583693677,0.0273972602739726,2026-04-20,1.0100492437603663,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
6925.0,23.9,0.12789125074811414,0.0273972602739726,2026-04-20,1.013708842469643,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
6950.0,16.450000000000003,0.12336590176600525,0.0273972602739726,2026-04-20,1.0173684411789197,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
6975.0,10.85,0.11941179532470698,0.0273972602739726,2026-04-20,1.0210280398881963,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7000.0,7.0,0.11671942031285362,0.0273972602739726,2026-04-20,1.024687638597473,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7025.0,4.449999999999999,0.1150834824794245,0.0273972602739726,2026-04-20,1.0283472373067497,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7050.0,2.975,0.11568294835134872,0.0273972602739726,2026-04-20,1.0320068360160264,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7075.0,1.9749999999999999,0.1165316258812728,0.0273972602739726,2026-04-20,1.035666434725303,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7100.0,1.475,0.11998134618456442,0.0273972602739726,2026-04-20,1.0393260334345797,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7125.0,1.1,0.12327191889331324,0.0273972602739726,2026-04-20,1.0429856321438566,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7150.0,0.875,0.1276173862732956,0.0273972602739726,2026-04-20,1.0466452308531333,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7175.0,0.7250000000000001,0.13250188609345598,0.0273972602739726,2026-04-20,1.05030482956241,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7200.0,0.625,0.13789255510289666,0.0273972602739726,2026-04-20,1.0539644282716867,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
6850.0,62.900000000000006,0.1475252751009222,0.030136986301369864,2026-04-21,1.002730046341813,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
6875.0,49.5,0.14199000579982624,0.030136986301369864,2026-04-21,1.0063896450510896,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
6900.0,37.5,0.1360090763785511,0.030136986301369864,2026-04-21,1.0100492437603663,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
6925.0,27.3,0.13019883569284588,0.030136986301369864,2026-04-21,1.013708842469643,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
6950.0,19.5,0.12609726803090351,0.030136986301369864,2026-04-21,1.0173684411789197,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
6975.0,13.35,0.12215790954957323,0.030136986301369864,2026-04-21,1.0210280398881963,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7000.0,8.899999999999999,0.11915055750146966,0.030136986301369864,2026-04-21,1.024687638597473,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7025.0,5.85,0.11721245287838003,0.030136986301369864,2026-04-21,1.0283472373067497,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7050.0,3.85,0.11639236197417202,0.030136986301369864,2026-04-21,1.0320068360160264,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7075.0,2.6,0.11686681676353554,0.030136986301369864,2026-04-21,1.035666434725303,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7100.0,1.85,0.11877574102864209,0.030136986301369864,2026-04-21,1.0393260334345797,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7125.0,1.375,0.1215950207144423,0.030136986301369864,2026-04-21,1.0429856321438566,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7150.0,1.075,0.12528635259472914,0.030136986301369864,2026-04-21,1.0466452308531333,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7175.0,0.8500000000000001,0.12902783729853012,0.030136986301369864,2026-04-21,1.05030482956241,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7200.0,0.7250000000000001,0.1339693844335753,0.030136986301369864,2026-04-21,1.0539644282716867,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
6850.0,67.9,0.1510266488340344,0.03287671232876712,2026-04-22,1.002730046341813,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
6875.0,53.85,0.14462646545836996,0.03287671232876712,2026-04-22,1.0063896450510896,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
6900.0,41.900000000000006,0.13946638596672353,0.03287671232876712,2026-04-22,1.0100492437603663,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
6925.0,31.049999999999997,0.1331922853782659,0.03287671232876712,2026-04-22,1.013708842469643,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
6950.0,22.8,0.1291521992875371,0.03287671232876712,2026-04-22,1.0173684411789197,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
6975.0,15.85,0.12440544677385845,0.03287671232876712,2026-04-22,1.0210280398881963,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7000.0,11.0,0.12167126604844752,0.03287671232876712,2026-04-22,1.024687638597473,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7025.0,7.4,0.1192621926836855,0.03287671232876712,2026-04-22,1.0283472373067497,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7050.0,4.949999999999999,0.11787151949560404,0.03287671232876712,2026-04-22,1.0320068360160264,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7075.0,3.4,0.1179550615805748,0.03287671232876712,2026-04-22,1.035666434725303,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7100.0,2.375,0.11883192112182402,0.03287671232876712,2026-04-22,1.0393260334345797,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7200.0,0.85,0.13096855520251557,0.03287671232876712,2026-04-22,1.0539644282716867,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
6850.0,72.3,0.1533259445022911,0.03561643835616438,2026-04-23,1.002730046341813,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
6875.0,58.3,0.14746103878468367,0.03561643835616438,2026-04-23,1.0063896450510896,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
6900.0,45.7,0.141553051304976,0.03561643835616438,2026-04-23,1.0100492437603663,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
6925.0,34.95,0.1363286145801626,0.03561643835616438,2026-04-23,1.013708842469643,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
6950.0,25.950000000000003,0.1315351218787041,0.03561643835616438,2026-04-23,1.0173684411789197,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
6975.0,18.6,0.12700848258847192,0.03561643835616438,2026-04-23,1.0210280398881963,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7000.0,13.3,0.12430390175022198,0.03561643835616438,2026-04-23,1.024687638597473,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7025.0,9.2,0.12169647135752329,0.03561643835616438,2026-04-23,1.0283472373067497,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7050.0,6.25,0.11972902606910407,0.03561643835616438,2026-04-23,1.0320068360160264,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7100.0,3.1,0.12003184134420013,0.03561643835616438,2026-04-23,1.0393260334345797,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
7200.0,1.025,0.12909454066027415,0.03561643835616438,2026-04-23,1.0539644282716867,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
6840.0,83.1,0.15871419455847735,0.038356164383561646,2026-04-24,1.0012662068581022,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
6850.0,77.25,0.15670235312204753,0.038356164383561646,2026-04-24,1.002730046341813,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
6860.0,71.5,0.15451390319551386,0.038356164383561646,2026-04-24,1.0041938858255237,SPX,2026-04-09,6831.35009765625,19.75,0.03584999799728394,0.015
